sr,Make,Model,Variant,Ex-Showroom_Price,Fuel_Tank_Capacity,Fuel_Type,Body_Type,ARAI_Certified_Mileage,Gears,Power,Seating_Capacity,Type,Number_of_Airbags
342,Hyundai,Creta,1.4 Crdi E Plus,"Rs. 9,99,990",55 litres,Diesel,SUV,21.38 km/litre,6,90PS@4000rpm,5,Manual,2
343,Hyundai,Creta,1.6 Vtvt E Plus,"Rs. 9,99,990",55 litres,Petrol,SUV,15.29 km/litre,6,123PS@6400rpm,5,Manual,2
344,Hyundai,Creta,1.6 Vtvt Sx,"Rs. 12,32,534",55 litres,Petrol,SUV,15.29 km/litre,6,123PS@6400rpm,5,Manual,2
345,Hyundai,Creta,1.6 Vtvt Sx (O),"Rs. 13,94,437",55 litres,Petrol,SUV,15.29 km/litre,6,123PS@6400rpm,5,Manual,6
346,Hyundai,Creta,1.6 Vtvt Sx At,"Rs. 13,77,363",55 litres,Petrol,SUV,15.29 km/litre,6,123PS@6400rpm,5,Automatic,2
347,Hyundai,Creta,1.6 Vtvt Sx Dual Tone,"Rs. 12,87,041",55 litres,Petrol,SUV,15.29 km/litre,6,123PS@6400rpm,5,Automatic,2
348,Hyundai,Creta,1.4 Crdi S,"Rs. 11,97,919",55 litres,Diesel,SUV,21.38 km/litre,6,90PS@4000rpm,5,Manual,2
349,Hyundai,Creta,1.6 Crdi Sx (O),"Rs. 15,43,564",55 litres,Diesel,SUV,19.67 km/litre,6,128ps@4000rpm,5,Manual,6
350,Hyundai,Creta,1.6 Crdi Sx At,"Rs. 15,27,395",55 litres,Diesel,SUV,17.01 km/litre,6,128ps@4000rpm,5,Automatic,2
351,Hyundai,Creta,1.6 Crdi S At,"Rs. 13,36,033",55 litres,Diesel,SUV,17.01 km/litre,6,128ps@4000rpm,5,Automatic,2
352,Hyundai,Creta,1.6 Vtvt Sx (O) Executive,"Rs. 14,22,937",55 litres,Petrol,SUV,15.29 km/litre,6,121bhp@6400rpm,5,Manual,6
353,Hyundai,Creta,1.6 Crdi Sx (O) Executive,"Rs. 15,72,064",55 litres,Diesel,SUV,19.67 km/litre,6,126bhp@4000RPM,5,Manual,6
354,Hyundai,Creta,1.4 Crdi Ex,"Rs. 11,07,167",55 litres,Diesel,SUV,21.38 km/litre,6,90PS@4000rpm,5,Manual,2
355,Hyundai,Creta,1.6 Vtvt Ex,"Rs. 10,92,192",55 litres,Petrol,SUV,15.29 km/litre,6,123PS@6400rpm,5,Manual,2
356,Hyundai,Creta,Sports Edition Petrol,"Rs. 12,79,983",55 litres,Petrol,SUV,15.29 km/litre,6,123PS@6400rpm,5,Manual,2
357,Tata,Harrier,Revotorq Xe,"Rs. 13,45,363",50 litres,Diesel,SUV,16.7 km/litre,6,140PS@3750rpm,5,Manual,2
358,Tata,Harrier,Revotorq Xm,"Rs. 14,71,368",50 litres,Diesel,SUV,16.7 km/litre,6,140PS@3750rpm,5,Manual,2
359,Tata,Harrier,Revotorq Xt,"Rs. 15,91,368",50 litres,Diesel,Hatchback,16.7 km/litre,6,140PS@3750rpm,5,Manual,2
360,Tata,Harrier,Revotorq Xz,"Rs. 17,21,368",50 litres,Diesel,Hatchback,16.7 km/litre,6,140PS@3750rpm,5,Manual,2
361,Tata,Harrier,Revotorq Xz Dual Tone,"Rs. 17,32,231",50 litres,Diesel,Hatchback,16.7 km/litre,6,140PS@3750rpm,5,Manual,2
362,Tata,Harrier,Revotorq Dark Edition,"Rs. 17,30,755",50 litres,Diesel,Hatchback,16.7 km/litre,6,140PS@3750rpm,5,Manual,2
363,Honda,Accord Hybrid,2.0 At,"Rs. 43,21,237",60 litres,Hybrid,Sedan,23.1 km/litre,5,145PS@6200rpm,5,Automatic,6
364,Bmw,5-Series,520D Luxury Line,"Rs. 59,30,000",70 litres,Diesel,Sedan,18.12 km/litre,8,190PS@4000rpm,5,Automatic,8
365,Bmw,5-Series,530D M Sport,"Rs. 66,80,000",70 litres,Diesel,Sedan,14.69 km/litre,8,258PS@4000rpm,5,Automatic,8
366,Bmw,5-Series,530I M Sport,"Rs. 59,80,000",70 litres,Petrol,Sedan,15.01 km/litre,8,252PS@5200rpm,5,Automatic,8
367,Porsche,Macan,Base,"Rs. 69,98,000",65 litres,Petrol,SUV,10.8 km/litre,7,248PS@5000RPM,5,Automatic,8
368,Maruti Suzuki R,Wagon,Vxi,"Rs. 4,79,000",32 litres,Petrol,Hatchback,22.5 km/litre,5,68PS@5500rpm,5,Manual,1
369,Maruti Suzuki R,Wagon,Vxi Ags,"Rs. 5,26,000",32 litres,Petrol,Hatchback,22.5 km/litre,5,68PS@5500rpm,5,Automatic,1
370,Maruti Suzuki R,Wagon,1.2L Zxi,"Rs. 5,48,000",32 litres,Petrol,Hatchback,21.5 km/litre,5,83PS@6000rpm,5,Manual,2
371,Maruti Suzuki R,Wagon,Lxi,"Rs. 4,34,000",32 litres,Petrol,Hatchback,22.5 km/litre,5,68PS@5500rpm,5,Manual,1
372,Maruti Suzuki R,Wagon,1.2L Vxi,"Rs. 5,13,501",32 litres,Petrol,Hatchback,21.5 km/litre,5,83PS@6000rpm,5,Manual,1
373,Maruti Suzuki R,Wagon,1.2L Vxi Ags,"Rs. 5,60,500",32 litres,Petrol,Hatchback,21.5 km/litre,5,83PS@6000rpm,5,Automatic,1
374,Maruti Suzuki R,Wagon,1.2L Zxi Ags,"Rs. 5,94,800",32 litres,Petrol,Hatchback,21.5 km/litre,5,83PS@6000rpm,5,Automatic,2
